# Layers Neurons R2_Score
1 10 -1.4759899378
1 20 0.0462860093
1 30 0.4132180214
1 40 0.2105243355
1 50 0.3715386093
1 60 0.2099253237
1 70 0.6452122927
1 80 0.6019930840
1 90 0.5190538168
1 100 0.7252538204
1 110 0.1179993525
1 120 -0.1417078227
1 130 0.7191870213
1 140 0.7167255878
1 150 -1.0249387026
1 160 0.2183621079
1 170 0.7728844881
1 180 0.6576560736
1 190 0.7550349236
1 200 0.6781618595
2 10 -2.0703210831
2 20 -0.7727566361
2 30 -0.0245134346
2 40 -2.6935784817
2 50 0.3394064903
2 60 0.4078593254
2 70 0.0124220708
2 80 0.3499605358
2 90 0.3300521970
2 100 0.3960953057
2 110 0.4559480250
2 120 0.3240282238
2 130 -0.6876167655
2 140 -1.0965290070
2 150 -1.2436281443
2 160 0.0187984463
2 170 0.3333329856
2 180 0.4886834323
2 190 0.3675612807
2 200 -1.2797091007
3 10 -2.4577264786
3 20 -2.1514201164
3 30 -0.2234224379
3 40 -3.6914846897
3 50 -0.2932476699
3 60 -0.8634319901
3 70 0.1536226273
3 80 0.0720233619
3 90 0.0671018362
3 100 0.3230105639
3 110 -0.2485616356
3 120 -8.9750137329
3 130 -1.7365517616
3 140 -0.4353958070
3 150 -2.2559204102
3 160 0.0796473920
3 170 -2.1913597584
3 180 0.2193504125
3 190 -2.1390147209
3 200 -1.5342766047
4 10 -4.3203868866
4 20 -1.0763677359
4 30 -2.5037679672
4 40 -1.9628072977
4 50 -0.8320377469
4 60 -4.1467819214
4 70 -0.8137630820
4 80 0.2165111601
4 90 0.3746122718
4 100 0.2322360128
4 110 -0.1488058418
4 120 -0.8427541256
4 130 -8.0993690491
4 140 0.2171562910
4 150 0.1550115794
4 160 -1.8177592754
4 170 0.3405649364
4 180 -0.2794059217
4 190 -7.6510367393
4 200 0.2003531754
5 10 -2.2330188751
5 20 0.0469400138
5 30 -0.3489842117
5 40 -0.4777286947
5 50 -0.0466284603
5 60 -5.4022469521
5 70 -0.6443133354
5 80 -2.8969261646
5 90 -0.9362099767
5 100 -5.2279558182
5 110 -2.3444659710
5 120 -6.1773829460
5 130 -6.7475419044
5 140 -4.5916786194
5 150 0.3127504885
5 160 -7.1478576660
5 170 -3.0295269489
5 180 -1.2751489878
5 190 -2.5945489407
5 200 0.2556017339
