# Layers Neurons R2_Score
1 10 -54.5939598083
1 20 -119.6307220459
1 30 -90.0322570801
1 40 -74.4878692627
1 50 -120.7281646729
1 60 -117.9746398926
1 70 -81.3291625977
1 80 -37.2165679932
1 90 -48.0241508484
1 100 -41.4525299072
1 110 -31.9175853729
1 120 -32.1101760864
1 130 -25.2214107513
1 140 -39.1542358398
1 150 -29.0439033508
1 160 -17.8182449341
1 170 -33.8310241699
1 180 -17.4762897491
1 190 -18.9269771576
1 200 -17.2234783173
2 10 -34.4825630188
2 20 -58.9731025696
2 30 -23.7387485504
2 40 -22.4424438477
2 50 -47.5021858215
2 60 -27.2753524780
2 70 -25.7032337189
2 80 -13.4289216995
2 90 -30.6112937927
2 100 -16.8243103027
2 110 -15.4090242386
2 120 -22.2006511688
2 130 -21.3341712952
2 140 -30.5001926422
2 150 -19.6081008911
2 160 -16.5756435394
2 170 -8.7445631027
2 180 -8.3436641693
2 190 -26.0803050995
2 200 -12.5932550430
3 10 -15.4213171005
3 20 -45.1587562561
3 30 -39.5459098816
3 40 -23.6895694733
3 50 -21.0330905914
3 60 -15.7025480270
3 70 -12.2682752609
3 80 -6.6696567535
3 90 -14.5242996216
3 100 -10.0281238556
3 110 -24.1611022949
3 120 -16.2469081879
3 130 -6.1154885292
3 140 -8.3254184723
3 150 -11.7414922714
3 160 -8.0231084824
3 170 -24.9739570618
3 180 -14.1926622391
3 190 -8.0943965912
3 200 -18.2686748505
4 10 -9.3217611313
4 20 -17.0114650726
4 30 -17.8429660797
4 40 -5.2079792023
4 50 -15.1760187149
4 60 -11.8477783203
4 70 -15.6420516968
4 80 -59.6345024109
4 90 -14.2454929352
4 100 -8.0550184250
4 110 -10.7052259445
4 120 -10.5336589813
4 130 -11.3898782730
4 140 -13.8381700516
4 150 -25.9120559692
4 160 -6.2685160637
4 170 -8.3759975433
4 180 -10.2889547348
4 190 -31.5137691498
4 200 -21.4861259460
5 10 -2.9060049057
5 20 -6.1675934792
5 30 -4.3867068291
5 40 -11.1602907181
5 50 -58.7799797058
5 60 -10.6988229752
5 70 -25.6267452240
5 80 -15.4811353683
5 90 -15.7454290390
5 100 -32.3819007874
5 110 -8.2442646027
5 120 -10.1097860336
5 130 -12.6235370636
5 140 -21.7622776031
5 150 -27.1656951904
5 160 -13.8217964172
5 170 -9.2394056320
5 180 -7.5528964996
5 190 -22.3262901306
5 200 -7.6566772461
