# Layers Neurons R2_Score
1 10 -2.7235722542
1 20 -2.1022186279
1 30 -1.9356800318
1 40 -2.2826428413
1 50 -2.4856975079
1 60 -3.7433519363
1 70 -2.6256754398
1 80 -2.9854230881
1 90 -2.5358288288
1 100 -2.3465054035
1 110 -2.0673816204
1 120 -2.6117444038
1 130 -3.8567862511
1 140 -1.7694263458
1 150 -2.7605760098
1 160 -1.7351322174
1 170 -0.8157252669
1 180 -2.0869293213
1 190 -1.2993177176
1 200 -0.9834373593
2 10 -1.9417990446
2 20 -1.8693917990
2 30 -3.0366690159
2 40 -2.5143475533
2 50 -4.4993271828
2 60 -4.1182260513
2 70 -5.5978794098
2 80 -7.4689478874
2 90 -2.3372323513
2 100 -2.4477076530
2 110 -1.2999446392
2 120 -1.0619291067
2 130 -0.4956988692
2 140 -1.8604344130
2 150 -2.3797087669
2 160 -0.6250869632
2 170 -2.1481292248
2 180 -3.7269029617
2 190 -1.9322512150
2 200 -0.7944648266
3 10 -1.4208924770
3 20 -2.7995014191
3 30 -2.8863673210
3 40 -1.9589278698
3 50 -3.1187679768
3 60 -6.2883419991
3 70 -3.0500133038
3 80 -6.9903688431
3 90 -3.4810545444
3 100 -2.5953795910
3 110 -2.0980787277
3 120 -5.2818012238
3 130 -2.9354903698
3 140 -3.3501100540
3 150 -4.1408958435
3 160 -6.7788825035
3 170 -3.8132135868
3 180 -5.9905562401
3 190 -1.9206671715
3 200 -3.4975247383
4 10 -2.5630366802
4 20 -3.1531744003
4 30 -2.2735073566
4 40 -4.1164698601
4 50 -3.4974694252
4 60 -5.1574463844
4 70 -3.9031035900
4 80 -6.9317860603
4 90 -7.1828331947
4 100 -2.8867394924
4 110 -3.1428449154
4 120 -2.1082017422
4 130 -2.8403496742
4 140 -5.5068840981
4 150 -7.3236250877
4 160 -3.9488768578
4 170 -2.3272237778
4 180 -5.8757724762
4 190 -9.3037767410
4 200 -7.9239177704
5 10 -1.8068068027
5 20 -6.0964336395
5 30 -3.2536163330
5 40 -4.8215851784
5 50 -5.6388406754
5 60 -6.9441318512
5 70 -6.3725762367
5 80 -5.6445078850
5 90 -13.6648263931
5 100 -2.2580027580
5 110 -6.7720122337
5 120 -3.5319428444
5 130 -2.4940881729
5 140 -1.8917851448
5 150 -2.2927229404
5 160 -9.0517787933
5 170 -13.1932916641
5 180 -4.6402130127
5 190 -2.0189058781
5 200 -1.4028697014
