# Layers Neurons R2_Score
1 10 -1.0634042025
1 20 -1.5702519417
1 30 -1.0490596294
1 40 -0.0040981020
1 50 -0.4232106507
1 60 -0.7067136765
1 70 0.1046546400
1 80 0.3732363880
1 90 0.5052147508
1 100 0.6986611485
1 110 0.4686034620
1 120 0.6052038670
1 130 0.6194660068
1 140 0.7198140025
1 150 0.7222185731
1 160 0.4579784870
1 170 0.7354014516
1 180 0.7266419530
1 190 0.7439020276
1 200 0.8111807108
2 10 0.2177085876
2 20 -0.7483946681
2 30 -0.4995941818
2 40 0.4063572884
2 50 0.4862674177
2 60 0.6553518772
2 70 0.6008120179
2 80 0.5729812980
2 90 0.4602025747
2 100 0.6561374068
2 110 0.5649796128
2 120 0.6014526486
2 130 0.5932613015
2 140 0.6997296214
2 150 0.7300791144
2 160 0.7448892593
2 170 0.6957622170
2 180 0.7600175142
2 190 0.7839103937
2 200 0.7790932655
3 10 0.0397127159
3 20 -0.4191544056
3 30 0.0535437167
3 40 0.6094619036
3 50 0.4622002244
3 60 0.5571352839
3 70 0.6725558639
3 80 0.6083922386
3 90 0.6094741821
3 100 0.4132950306
3 110 0.7863172293
3 120 0.7577524185
3 130 0.6474117637
3 140 0.5626129508
3 150 0.6836301684
3 160 0.7440987825
3 170 0.7775770426
3 180 0.7662396431
3 190 0.7810901999
3 200 0.7053108215
4 10 0.2238547057
4 20 0.0975627601
4 30 0.1923151761
4 40 0.5959874988
4 50 0.4351195395
4 60 0.5866348147
4 70 0.5138648748
4 80 0.6454537511
4 90 0.5750892758
4 100 0.5923162103
4 110 0.7426081896
4 120 0.5575671792
4 130 0.7834736705
4 140 0.6796401143
4 150 0.7335551977
4 160 0.6388436556
4 170 0.7735589147
4 180 0.7072827816
4 190 0.7615613937
4 200 0.7914678454
5 10 -0.1953159571
5 20 0.1093664989
5 30 0.0447283611
5 40 0.2502664924
5 50 0.5703052282
5 60 0.7507975101
5 70 0.5583414435
5 80 0.5256724954
5 90 0.5640800595
5 100 0.4852854609
5 110 0.6284879446
5 120 0.7448382974
5 130 0.6465552449
5 140 0.5981515050
5 150 0.7385237813
5 160 0.7783545852
5 170 0.7710663676
5 180 0.7991116643
5 190 0.7690896392
5 200 0.7611240149
